4! 24
104! 10299016745145627623848583864765044283053772454999072182325491776887871732475287174542709871683888003235965704141638377695179741979175588724736000000000000000000000000
105! 1081396758240290900504101305800329649720646107774902579144176636573226531909905153326984536526808240339776398934872029657993872907813436816097280000000000000000000000000
109! 144385958320249358220488210246279753379312820313396029159834075622223337844983482099636001195615259277084033387619818092804737714758384244334160217374720000000000000000000000000
110! 15882455415227429404253703127090772871724410234473563207581748318444567162948183030959960131517678520479243672638179990208521148623422266876757623911219200000000000000000000000000
114! 2543559733472187557120132004189335234812341496026552301496526393412538629248600474981599398141467853800514886431180030568224218435400019580180261753940817530060800000000000000000000000000
115! 292509369349301569068815180481773552003419272043053514672100535242441942363589054622883930786268803187059211939585703515345785120071002251720730101703194015956992000000000000000000000000000
119! 55745857612076058813234317117419771556272886109483581752463927935846946310374691578057284710599874844234646982443450754604453404911734348832487342619913750049708004343808000000000000000000000000000
120! 6689502913449127057588118054090372586752746333138029810295671352301633557244962989366874165271984981308157637893214090552534408589408121859898481114389650005964960521256960000000000000000000000000000
124! 1506141741511140879795014161993280686076322918971939407100785852066825250652908790935063463115967385069171243567440461925041295354731044782551067660468376444194611004520057054167040000000000000000000000000000
125! 188267717688892609974376770249160085759540364871492425887598231508353156331613598866882932889495923133646405445930057740630161919341380597818883457558547055524326375565007131770880000000000000000000000000000000
129! 49745042224772874403902341504126809639656611137138843145968864022652168932196355119328515747917449637889876686464600208839390308261862352651828829226610077151044469167497022952331930501120000000000000000000000000000000
130! 6466855489220473672507304395536485253155359447828049608975952322944781961185526165512707047229268452925683969240398027149120740074042105844737747799459310029635780991774612983803150965145600000000000000000000000000000000
134! 1992942746161518876737324194182948445222558439641379420268181650403332765909000151088003004705990626788174304488982644980314383013435909872030129915047718433336536425741860482713199069412263880294400000000000000000000000000000000
135! 269047270731805048359538766214698040105045389351586221736204522804449923397715020396880405635308734616403531106012657072342441706813847832724067538531441988500432417475151165166281874370655623839744000000000000000000000000000000000
139! 96157231969410890041971956135297253988256079629956908500367081914696145479218112119985149618783441690577636407442564169301886059792163365100096999581219760002673769583579570682891939608962934200435638009856000000000000000000000000000000000
140! 13462012475717524605876073858941615558355851148193967190051391468057460367090535696797920946629681836680869097041958983702264048370902871114013579941370766400374327741701139895604871545254810788060989321379840000000000000000000000000000000000
144! 5550293832739304789551054660550388117999982337982762871343070903773209740507907044212761943998894132603029642967578724274573160149321818341878907651093495984407926316593053871805976798524658790357488383743402086236160000000000000000000000000000000000
145! 804792605747199194484902925779806277109997439007500616344745281047115412373646521410850481879839649227439298230298915019813108221651663659572441609408556917739149315905992811411866635786075524601835815642793302504243200000000000000000000000000000000000
149! 380892263763056972698595524350736933545970238573408427883655838887865527498969322620843829924502074302514052524979028027751108334657896696442372994639480443832950613971571859528835715269633083149369445271480789636247481797836800000000000000000000000000000000000
150! 57133839564458545904789328652610540031895535786011264182548375833179829124845398393126574488675311145377107878746854204162666250198684504466355949195922066574942592095735778929325357290444962472405416790722118445437122269675520000000000000000000000000000000000000
154! 30897696138473508879585646703632404659201907040888820477871589289865505687886666220300447285640952619071680544337494109264649994680187591361311072737951454695525676891035640863743200899694758450943586711068571022031011228320107310612480000000000000000000000000000000000000
155! 4789142901463393876335775239063022722176295591337767174070096339929153381622433264146569329274347655956110484372311586936020749175429076661003216274382475477806479918110524333880196139452687559896255940215628508414806740389616633144934400000000000000000000000000000000000000
159! 2946702272495038326504339507351214862194953894034126281105653614484641084171384877168612688988218723122267050655122476638168421183149385930893186799109435156968004883209906330997062135376272570217948962453536198860613811636208208325279592585625600000000000000000000000000000000000000
160! 471472363599206132240694321176194377951192623045460204976904578317542573467421580346978030238114995699562728104819596262106947389303901748942909887857509625114880781313585012959529941660203611234871833992565791817698209861793313332044734813700096000000000000000000000000000000000000000
164! 328721858553429622726333031164414657201307396238870899045862237158580182864271307153959338482212215476391820329660212699921564577126760936298613378281401599441328640627721748601735615072812402484508949220556707455881820297436017777661078154820871262306304000000000000000000000000000000000000000
165! 54239106661315887749844950142128418438215720379413698342567269131165730172604765680403290849565015553604650354393935095487058155225915554489271207416431263907819225703574088519286376487014046409943976621391856730220500349076942933314077895545443758280540160000000000000000000000000000000000000000
169! 42690680090047052749392518888995665380688186360567361038491634111179775549421800928543239701427161526538182301399050122215682485679075017796052357489455946484708413412107621199803603527401512378815048789750405684196703601544535852628274771797464002689372589486243840000000000000000000000000000000000000000
170! 7257415615307998967396728211129263114716991681296451376543577798900561843401706157852350749242617459511490991237838520776666022565442753025328900773207510902400430280058295603966612599658257104398558294257568966313439612262571094946806711205568880457193340212661452800000000000000000000000000000000000000000
174! 6425425663347064733166342506526881458348150508160426541851455077080468607287618805557105047805861775775912692278116502462953528378524937389131268196460620409529506610362739317326974626432136901748478076969280322196922086635340638923811068556323532935233826663322108954882867200000000000000000000000000000000000000000
175! 1124449491085736328304109938642204255210926338928074644824004638489082006275333290972493383366025810760784721148670387931016867466241864043097971934380608571667663656813479380532220559625623957805983663469624056384461365161184611811666936997356618263665919666081369067104501760000000000000000000000000000000000000000000
179! 1116089236106301664760840760547037993986335226660376544113529639778027005296644338562111878400540609642397745005763331164839067401035174973742275547399815172071920297548998924861468632538100874694671162275335324796220248138283968091277876800787759743434401881346126074043437399922442240000000000000000000000000000000000000000000
180! 200896062499134299656951336898466838917540340798867777940435335160044860953395980941180138112097309735631594101037399609671032132186331495273609598531966730972945653558819806475064353856858157445040809209560358463319644664891114256430017824141796753818192338642302693327818731986039603200000000000000000000000000000000000000000000
184! 222838537954982745247605724535360168027834983462910692423250174342678484642385413049022198925438228887221917358693265932135721906864890352653834946279054097997205240028170467609365663179710268540256280194835590525207409333795988386246815815268464000063598852082447047816427717217400374445264076800000000000000000000000000000000000000000000
185! 41225129521671807870807059039041631085149471940638478098301282253395519658841301414069106801206072344136054711358254197445108552770004715240959465061625008129482969405211536507732647688246399679947411836044584247163370726752257851455660925824665840011765787635252703846039127685219069272373854208000000000000000000000000000000000000000000000
189! 50949066711869732400649192182185953712727164528751965056583473262863708544343306356002477236492316681182538739610484120611376826228682073923818703706597906776016830438287668195034454414647375475968919974197648576948805565475117361964101925978495290150681191310309203359084653193781496463183427232430292992000000000000000000000000000000000000000000000
190! 9680322675255249156123346514615331205418161260462873360750859919944104623425228207640470674933540169424682360525991982916161596983449594045525553704253602287443197783274656957056546338783001340434094795097553229620273057440272298773179365935914105128629426348958748638226084106818484328004851174161755668480000000000000000000000000000000000000000000000
194! 13291789929008494930671731515822733014985079866423409165175226140878049646258859332955000974414316999457420949006882042582450342442734412047662165693973895355712948808511029850588270220388904130305896013007257787995674698685240384659920882080028170533221115412350068243944971300227595295350228888376232520868975083520000000000000000000000000000000000000000000000
195! 2591899036156656511480987645585432937922090573952564787209169097471219681020477569926225190010791814894197085056341998303577816776333210349294122310324909594364025017659650820864712692975836305409649722536415268659156566243621875008684572005605493253978117505408263307569269403544381082593294633233365341569450141286400000000000000000000000000000000000000000000000
199! 3943289336823952517761816069660925311475679888435866316473712666221797249817016714601521420059923119520886060694598194151288213951213185525309633124764149655567314286353816586186984944719612228107258321201270166459320656137141474266387621212037869516201606287027897843301130159520851620311758504293980894611113948118519486873600000000000000000000000000000000000000000000000
200! 788657867364790503552363213932185062295135977687173263294742533244359449963403342920304284011984623904177212138919638830257642790242637105061926624952829931113462857270763317237396988943922445621451664240254033291864131227428294853277524242407573903240321257405579568660226031904170324062351700858796178922222789623703897374720000000000000000000000000000000000000000000000000
204! 1326057243693621217332951116794432419966106079326253461128571361896219220627592813941309056267893882766353579962753961259654835090125299420645464567948176773341405929566742723734451284877728373946503737685045475883370067891849358707528438515087100654429082243182025720274900300149415790281766550837429303812722914834538921053721492193280000000000000000000000000000000000000000000000000
205! 271841734957192349553254978942858646093051746261881959531357129188724940228656526857968356534918245967102483892364562058229241193475686381232320236429376238534988215561182258365562513399934316659033266225434322556090863917829118535043329895592855634157961859852315272656354561530630237007762142921673007281608197541080478816012905899622400000000000000000000000000000000000000000000000000
209! 503922001391602684687020401158801681226618598986519140773108273914973750154286714989758900055784161689372691983704250134636955362807053185957405838412622577093209034636594244815143495425900762221723313516671432465293726789169859417220321898386948547503076332140696583782648654162369257874235628670913098927309583611016480222975543676334472010137600000000000000000000000000000000000000000000000000
210! 105823620292236563784274284243348353057589905787169019562352737522144487532400210147849369011714673954768265316577892528273760626189481169051055226066650741189573897273684791411180134039439160066561895838501000817711682625725670477616267598661259194975646029749546282594356217374097544153589482020891750774735012558313460846824864172030239122128896000000000000000000000000000000000000000000000000000
214! 215771612901509642419154405263379786667606793944644903385185080132942734853355886863606062879676771893401843920042459437813883477594326205732254335739348553965888036169487708451254596491254638904097816602897239765316879995186756253843243073503164673686493567278056095995655656228682382971362020200213305145566566089714931916216940924097924912529382523797504000000000000000000000000000000000000000000000000000
215! 46390896773824573120118197131626654133535460698098654227814792228582687993471515675675303519130505957081396442809128779129984947682780134232434682183959939102665927776439857317019738245619747364381030569622906549543129198965152594576297260803180404842596116964782060639065966089166712338842834343045860606296811709288710361986642298681053856193817242616463360000000000000000000000000000000000000000000000000000
219! 103811833450665520790784812050696987592862412343010395535165214369364895118319311176262570445087322861168479918003399071591343205601099865907098953286457117621237553002771651063862616124206500616233324855715797899975038614698957540660500957057841651558112130709768405516627628811175155843507053640225358401029226812136513388699363317902826288743137602940758720658800640000000000000000000000000000000000000000000000000000
220! 22838603359146414573972658651153337270429730715462287017736347161260276926030248458777765497919211029457065581960747795750095505232241970499561769723020565876672261660609763234049775547325430135571331468257475537994508495233770658945310210552725163342784668756149049213658078338458534285571551800849578848226429898670032945513859929938621783523490272646966918544936140800000000000000000000000000000000000000000000000000000
224! 55971593537537760404604573101364593176499404892579159768377152549395149245330647483833277915864388784447820896631966823753514906972682973565755801329326510071918742943565354051665634790924674413411085992886622125541764634019891159167420086648483483701916733257620551762703648325379440730697875571890344334786574299450407459134155346330065961388198972801957484316615567463363379200000000000000000000000000000000000000000000000000000
225! 12593608545945996091036028947807033464712366100830310947884859323613908580199395683862487531069487476500759701742192535344540854068853669052295055299098464766181717162302204661624767827958051743017494348399489978246897042654475510812669519495908783832931264982964624146608320873210374164407022003675327475326979217376341678305184952924264841312344768880440433971238502679256760320000000000000000000000000000000000000000000000000000000
229! 33732988281246631312231192603881658445278052743458840718712889236282367011484303215665878263671808510473104357910834923135801089160730558502584546478140492931762178344960651257787782487606306108805041844155770227520332958438954037460012581035419818101023839748419742537773095643163544986346340944373186757069199399927422509706902590528316188824776642524044590757250443816327637360107847680000000000000000000000000000000000000000000000000000000
230! 7758587304686725201813174298892781442413952130995533365303964524344944412641389739603152000644515957408814002319492032321234250506968028455594445689972313374305301019340949789291189972149450405025159624155827152329676580440959428615802893638146558163235483142136540783687811997927615346859658417205832954125915861983307177232587595821512723429698627780530255874167602077755356592824804966400000000000000000000000000000000000000000000000000000000
234! 22670150051024339208842996793945853659618105149432332891909162781453188496185286163298606516694886905607365190190959563064612945338703694136857684356961467817193275159683377314353662443780840896397239708288581036699483832395636246310971241224996315914676173236435465798388095261168098119711919219177465172417531870533071210963890951079600651352649259865692984172459046697905169775036847325733034393600000000000000000000000000000000000000000000000000000000
235! 5327485261990719714078104246577275610010254710116598229598653253641499296603542248375172531423298422817730819694875497320184042154595368122161555823885944937040419662525593668873110674288497610653351331447816543624378700612974517883078241687874134239948900710562334462621202386374503058132301016506704315518119989575271734576514373503706153067872576068437851280527875974007714897133659121547263082496000000000000000000000000000000000000000000000000000000000
239! 16949522348529408835389899672862022125716880246595113108623983204506195495523271266704586373868118845515920376024458744413113150216273885679780756662910246853135262615367148772382102617859694255160235597113615035885604868074081954744831049001649867572598408143044737642352485404016611740509384254415700336885374754148356579883331945483350179022057903332502491999938600812997944506573425234229353548409317883904000000000000000000000000000000000000000000000000000000000
240! 4067885363647058120493575921486885310172051259182827146069755969081486918925585104009100729728348522923820890245870098659147156051905732563147381599098459244752463027688115705371704628286326621238456543307267608612545168337779669138759451760395968217423617954330737034164596496963986817722252221059768080852489940995605579171999666916004042965293896799800598079985264195119506681577622056215044851618236292136960000000000000000000000000000000000000000000000000000000000
244! 14066861585910957825823554248473273151048885515818703610657157599925059305234089260260425074439479099509579055626847051426975689567391221809612995211904405203575892092769392040929881941264620552259816313262701033449644950077839593819278128782325391432464195965545240828715820115153697334450128028820921002528608026140910553627525564314207634671286354529874385772549637093767058133950661601672128467312782847663458526167040000000000000000000000000000000000000000000000000000000000
245! 3446381088548184667326770790875951922006976951375582384611003611981639529782351868763804143237672379379846868628577527599609043944010849343355183826916579274876093562728501050027821075609832035303654996749361753195163012769070700485723141551669720900953728011558584003035375928212655846940281367061125645619508966404523085638743763256980870494465156859819224514274661087972929242817912092409671474491631797677547338910924800000000000000000000000000000000000000000000000000000000000
249! 12931425043636430929283258208097473883979374870695122666991769708451294990220444837955271661484112797803714029412757731706923726851235963291164121116285127686706108960757058932872164745044027331701460534715756358279742854120700162052715040308991732261609356024659302208995277746290344229596890565019331928819396550887106602565107435228612515915110691807655963377509914810356691893020601132967149282632753928249914330639235395302195200000000000000000000000000000000000000000000000000000000000
250! 3232856260909107732320814552024368470994843717673780666747942427112823747555111209488817915371028199450928507353189432926730931712808990822791030279071281921676527240189264733218041186261006832925365133678939089569935713530175040513178760077247933065402339006164825552248819436572586057399222641254832982204849137721776650641276858807153128978777672951913990844377478702589172973255150283241787320658188482062478582659808848825548800000000000000000000000000000000000000000000000000000000000000
254! 13140590921305800461383000485312999772637584563104865500301097585436112937395030474531867208340248291212865890660793264493829608374597066104814480522325766324749346393433958125653725607028102944055895649073546925669455844464559611898118678402279915384891280928014302570181589617808257025252685647489863012884041863014084857184237663384079934731712702738308949431076917947473700246530360714416499720082234418835880264436811011656620579173171200000000000000000000000000000000000000000000000000000000000000
255! 3350850684932979117652665123754814942022584063591740702576779884286208799035732771005626138126763314259280802118502282445926550135522251856727692533193070412811083330325659322041700029792166250734253390513754466045711240338462701034020262992581378423147276636643647155396305352541105541439434840109915068285430675068591638581980604162940383356586739198268782104924614076605793562865241982176207428620969776803149467431386807972438247689158656000000000000000000000000000000000000000000000000000000000000000
259! 14731522541677573981221146098478814904921372124265757539197310836464044135136152051866483993367037591976051474458823115782051305170190861769614405812845575485206934539993203265251817780077680187926277113767397360393567933692791279202122910084710432596691881238872847382015544955071475431410416672168181602839819643480164257701005501021089943101449381192608295771782412387718848186022340692832123629669064628061131213865966905743336198881493669321375744000000000000000000000000000000000000000000000000000000000000000
260! 3830195860836169235117497985604491875279556752309096960191300817480651475135399533485285838275429773913773383359294010103333339344249624060099745511339849626153802980398232848965472622820196848860832049579523313702327662760125732592551956622024712475139889122106940319324041688318583612166708334763727216738353107304842707002261430265483385206376839110078156900663427220806900528365808580136352143713956803295894115605151395493267411709188354023557693440000000000000000000000000000000000000000000000000000000000000000
264! 18185383189392887735313195211173533024655737231440971203613644004606787277679523712884843949908934866745745307008769871898662501019223590087314499055938852972322406044521060874927906875586732746194220000026538351512527336547002111893462424515001469264597303826319758765744865871703115333268709027917365722954263181540029959049555010550332625509572632986945109712378751054164115511093106872600212130059803241546735654689041480034722342625061557900616045691467202560000000000000000000000000000000000000000000000000000000000000000
265! 4819126545189115249857996730960986251533770366331857368957615661220798628585073783914483646725867739687622506357324016053145562770094251373138342249823796037665437601798081131855895322030484177741468300007032663150819744184955559651767542496475389355118285513974736072922389456001325563316207892398101916582879743108107939148132077795838145760036747741540454073780369029353490610439673321239056214465847859009884948492595992209201420795641312843663252108238808678400000000000000000000000000000000000000000000000000000000000000000
269! 24674496683959639479411192502726424547294255297332825680197106039081288901892917898390428994254364001014736124508189279001775937834782944634392375598803528916550589946813690011829690208985566315900911455090647265355232802576460150612022157794389597509558870312080150047612904606819941984627269241198574206484947062512313239769846257455041082292703331013802572428307093284564192341826933936748033736435797155358322718943252370260495773262171506529862911305849523210563459481600000000000000000000000000000000000000000000000000000000000000000
270! 6662114104669102659441021975736134627769448930279862933653218630551948003511087832565415828448678280273978753617211105330479503215391395051285941411676952807468659285639696303194016356426102905293246092874474761645912856695644240665245982604485191327580894984261640512855484243841384335849362695123615035750935706878324574737858489512861092219029899373726694555642915186832331932293272162921969108837665231946747134114678139970333858780786306763062986052579371266852134060032000000000000000000000000000000000000000000000000000000000000000000
274! 36733598220785760101197668001508305208935557425488533969608495558907730794746205730904460603549444427934344148163836765439791065158049228160149161416274034654831598291704408530385394632800420883946896500159649542124436818314635253096698401080427052875616768530638234390264505609645466010121119335570768885165448913286697396892267622477064802891414367573068702043817353307162010453914271893318499792281921356338099648539114120311402041502806052900581870125154065449930541445325959200768000000000000000000000000000000000000000000000000000000000000000000
275! 10101739510716084027829358700414783932457278292009346841642336278699625968555206575998726665976097217681944640745055110495942542918463537744041019389475359530078689530218712345855983524020115743085396537543903624084220125036524694601592060297117439540794611345925514457322739042652503152783307817281961443420498451153841784145373596181192820795138951082593893062049772159469552874826424770662587442877528372992977403348256383085635561413271664547660014284417367998730898897464638780211200000000000000000000000000000000000000000000000000000000000000000000
279! 59900992140900661842887713008863182129122009476582943629389800594760751768350630543484927246074521981920198096717476820446847864624238562251607021402113768028083339537493562632335531721772366306358269660481230294039572948859116039184275221826247526596636211499799410165811005268695270643939950862483444123118643742790479224063914808916318061315018797044367615244804310947252302377828757808166085637053980049383248568883847933087862377056829392203297872047149919063851354324760464638884298149068800000000000000000000000000000000000000000000000000000000000000000000
280! 16772277799452185316008559642481690996154162653443224216229144166533010495138176552175779628900866154937655467080893509725117402094786797430449965992591855047863335070498197537053948882096262565780315504934744482331080425680552490971597062111349307447058139219943834846427081475234675780303186241495364354473220247981334182737896146496569057168205263172422932268545207065230644665792052186286503978375114413827309599287477421264601465575912229816923404173201977337878379210932930098887603481739264000000000000000000000000000000000000000000000000000000000000000000000
284! 106819920598242124210489770560509239340125068873129940913477771264793225492627085959522325232388445694101615488156274868632141498325375407648235238843125908741528348352441641097452338579646969857229474618545160297794381172076408781827824073181451191214890244002663994514300997042820617432906802783189323120503259605070230385272077403570423396834695443929454039241487293919994378077529194041013817895502702414133840745562289507591459979165996867744648335193809035101466117006080761727529449156735814216974336000000000000000000000000000000000000000000000000000000000000000000000
285! 30443677370499005399989584609745133211935644628842033160341164810466069265398719498463862691230707022818960414124538337560160327022731991179747043070290883991335579280445867712773916495199386409310400266285370684871398634041776502820929860856713589496243719540759238436575784157203875968378438793208957089343428987445015659802542060017570668097888201519894401183823878767198397752095820301688938100218270188028144612485252509663566094062309107307224775530235575003917843346733017092345893009669707051837685760000000000000000000000000000000000000000000000000000000000000000000000
289! 207986607530614516434889573226252709222712518908365286496652422317405760295930638776430109826354519132675660433931363055910963871453772379754931444766652739192303201763588723618347593740385428725846122572271049818916876323493243976023302916666394540247449307010665731331903556896427962603583291932028351318888786128689538489086713005449989591695585446014805881310771610743578696897019623882572957311572603371048376255338230572538584588079078669943174850854858995580594914244562856410918607028520410684463210865874698240000000000000000000000000000000000000000000000000000000000000000000000
290! 60316116183878209766117976235613285674586630483425933084029202472047670485819885245164731849642810548475941525840095286214179522721593990128930118982329294365767928511440729849320802184711774330495375545958604447485894133813040753046757845833254416671760299033093062086252031499964109155039154660288221882477747977319966161835146771580496981591719779344293705580123767115637822100135690925946157620356054977604029114048086866036189530542932814283520706747909108718372525130923228359166396038270919098494331151103662489600000000000000000000000000000000000000000000000000000000000000000000000
294! 441493343801840397553320608083648101048992282701131630108201418124844366982039501253529236685046359765063766360570256802662195726065605767917400139944281333714651208850625514041997320661442269105487703509869279815882211623379153463877703513438335657024889647022219073438364862455013047288694208443355677454770632983639860331885114631816879893215611974836968880662246506881085720413142741574885782417807943553804471999371690150830807771623371250563274152117483852853123809795703858987156664712691544065148877328689079597788456550400000000000000000000000000000000000000000000000000000000000000000000000
295! 130240536421542917278229579384676189809452723396833830881919418346829088259701652869791124822088676130693811076368225756785347739189353701535633041283562993445822106610934526642389209595125469386118872535411437545685252428896850271843922536464309018822342445871554626664317634424228848950164791490789924849157336730173758797906108816385979568498605532576905819795362719529920287521877108764591305813253343348372319239814648594495088292628894518916165874874657736591671523889732638401211216090244005499218918811963278481347594682368000000000000000000000000000000000000000000000000000000000000000000000000
299! 1020191707388135453451234870990895431295296013911923331389255804198255110589056224885050971408258577833130492962339087896214213025863343847422809759689915199470751589767573182013360040719254173922847519884523011689295750881072987547664550681921496101296365846478298751453510753269255070902741458798163733762262251227685707645606478833188201660554834092388333950588488231133707420115765746887777528611689567167232647229501179173791849700963754690523849434274283126508788600484117443856454940778122664181980317589402026874109374624612936056832000000000000000000000000000000000000000000000000000000000000000000000000
300! 306057512216440636035370461297268629388588804173576999416776741259476533176716867465515291422477573349939147888701726368864263907759003154226842927906974559841225476930271954604008012215776252176854255965356903506788725264321896264299365204576448830388909753943489625436053225980776521270822437639449120128678675368305712293681943649956460498166450227716500185176546469340112226034729724066333258583506870150169794168850353752137554910289126407157154830282284937952636580145235233156936482233436799254594095276820608062232812387383880817049600000000000000000000000000000000000000000000000000000000000000000000000000
304! 2562670056623153451423677973417035354328950279824180156487423408730546616144061285813096164275856424598104985630040740000192777155953247432077878965892432910120344156730272017098395658100902455737039918394669780119986300940765256877587704596362126080738127469212073404208021620384606064265242466557056495289026663928547708316864466750154334166084937176952634738209782162189316051268781134845392696699367508405111348195896932327425340011712370959923072096272284289267026781455056494522145656026610410833076549888797913349100200027196649718704253593190400000000000000000000000000000000000000000000000000000000000000000000000000
305! 781614367270061802684221781892195783070329835346374947728664139662816717923938692172994330104136209502422020617162425700058797032565740466783753084597192037586704967802732965215010675720775248999797175110374282936595821786933403347664249901890448454625128878109682388283446594217304849600898952299902231063153132498207051036643662358797071920655905838970553595153983559467741395636978246127844772493307090063558961199748564359864728703572273142776536989363046708226443168343792230829254425088116175304088347716083363571475561008294978164204797345923072000000000000000000000000000000000000000000000000000000000000000000000000000
309! 6988138948263088330526565370252219208928877095417812531973384328436022315380827850473626023608749115714679461844920501822277500373025951154446999651107789826798107499056488107249245933021854005718144590051349814637492351346002281659889360900779031840318012164816668700073997544498476430189894406503791137547971473279505054393635311460302220084398109323122142194699559086683748600644751777573901016571015588001948460858024671240861411590889525615153315307511632570524453657601225361230125457057321908614935085129225637534586557293103944132920768922147558132809728000000000000000000000000000000000000000000000000000000000000000000000000000
310! 2166323073961557382463235264778187954767951899579521884911749141815166917768056633646824067318712225871550633171925355564906025115638044857878569891843414846307413324707511313247266239236774741772624822915918442537622628917260707314565701879241499870498583771093167297022939238794527693358867266016175252639871156716646566862026946552693688226163413890167864080356863316871962066199873051047909315137014832280604022865987648084667037593175752940697527745328606096862580633856379861981338891687769791670629876390059947635721832760862222681205438365865743021171015680000000000000000000000000000000000000000000000000000000000000000000000000000
314! 20659137880503071791380637818439571007133129436819056465847536017053176899692160345149663278684609438960910162610648177545579277167001701924427200484080511242637757175037776724251512761149652829822488653655829061323638283949770912058905476955261529375305870526412229341127978156375316284257808964108803665013084709514051029432670718461463522339767687828093878998487884593050868977280112740242289361044650374317503958191964888755482673372291876979427103222539172602010449676892667909958293046793658331003645145659047333929552365659453811997786326119570813236432202369408696320000000000000000000000000000000000000000000000000000000000000000000000000000
315! 6507628432358467614284900912808464867246935772598002786741973845371750723403030508722143932785651973272686701222354175926857472307605536106194568152485361041430893510136899668139226519762140641394083925901586154316946059444177837298555225240907381753221349215819852242455313119258224629541209823694273154479121683496926074271291276315361009537026821665849571884523683646811023727843235513176321148729064867910013746830468939957977042112271941248519537515099839369633291648221190391636862309740002374266148220882599910187808995182727950779302692727664806169476143746363739340800000000000000000000000000000000000000000000000000000000000000000000000000000
319! 66128229600601640092366157533675933308733247213675408364243071923681532283888975524568088659634909189758097630647213696435299602004214516144972687626236199715582821169837050482233226921429353398632285530928015363480553994665516258689457202624141419759635378893549751079518001466611614652525566831512299180329013604362092252692944237898426203408573757215780690421616046110818353165455327934234789764572112126365612200292670966717352053017532957938662651315708152893151543681762562458104508015329571080216913518822786913342526744787992999966070467653954247746400265215377049057691382579200000000000000000000000000000000000000000000000000000000000000000000000000000
320! 21161033472192524829557170410776298658794639108376130676557783015578090330844472167861788371083170940722591241807108382859295872641348645166391260040395583908986502774347856154314632614857393087562331369896964916313777278292965202780626304839725254323083321245935920345445760469315716688808181386083935737705284353395869520861742156127496385090743602309049820934917134755461873012945704938955132724663075880436995904093654709349552656965610546540372048421026608925808493978164019986593442564905462745669412326023291812269608558332157759989142549649265359278848084868920655698461242425344000000000000000000000000000000000000000000000000000000000000000000000000000000
324! 228899746017910232114933690529555743502759130831940279174579737428215618606232057158915011310224424298630000943619353465094919014819474892103028399500750887936357373785907800519816101283768198080462675022926218255889939361916790996117310831238532981176371313004138397715962697117705131315082850911921729498202026766984080923443167873199185244441890418098930730463031745773232532987039160463572147422912663713636023304905128435470198096892551673523719179621110831919466125920963186231717211640527608296146965803152884289551850054291889176084740764997510553516039510642863526370578934527712879968256000000000000000000000000000000000000000000000000000000000000000000000000000000
325! 74392417455820825437353449422105616638396717520380590731738414664170076047025418576647378675822937897054750306676289876155848679816329339933484229837744038579316146480420035168940232917224664376150369382451020933164230292622957073738126020152523218882320676726344979257687876563254167677401926546374562086915658699269826300119029558789735204443614385882152487400485317376300573220787727150660947912446615706931707574094166741527814381490079293895208733376861020373826490924313035525308093783171472696247763886024687394104351267644863982227540748624190929892712840958930646070438153721506685989683200000000000000000000000000000000000000000000000000000000000000000000000000000000
